========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
238         convolution.relu.pooling.layer2_2            367
240         leakyrelu.layer_3                            158
241         convolution.relu.pooling.layer2_2            923
243         leakyrelu.layer_3                            313
244         convolution.relu.pooling.layer2_2            367
246         leakyrelu.layer_3                            158
247         convolution.relu.pooling.layer2_2            922
249         leakyrelu.layer_3                            313
250         convolution.relu.pooling.layer2_2            522
Total Time(us): 94273
FPS(600MHz): 7.96
FPS(800MHz): 10.61
Note: Time of each layer is converted according to 800MHz!
========================================================================
