========================================================================
                               Performance                              
========================================================================
Layer ID    Name                                         Time(us)
205         convolution.relu.pooling.layer2_2            821
206         convolution.relu.pooling.layer2_2            821
215         convolution.relu.pooling.layer2_2            821
216         convolution.relu.pooling.layer2_2            821
192         convolution.relu.pooling.layer2_2            880
190         activation.layer_3                           1520
189         convolution.relu.pooling.layer2_2            2431
174         activation.layer_3                           736
172         convolution.relu.pooling.layer2_2            495
151         activation.layer_3                           370
185         convolution.relu.pooling.layer2_2            495
170         activation.layer_3                           370
203         convolution.relu.pooling.layer2_2            251
201         activation.layer_3                           370
187         convolution.relu.pooling.layer2_2            435
171         activation.layer_3                           370
150         openvx.tensor_add                            3111
131         convolution.relu.pooling.layer2_2            498
114         activation.layer_3                           736
100         convolution.relu.pooling.layer2_2            1425
90          activation.layer_3                           378
77          convolution.relu.pooling.layer2_2            252
73          activation.layer_3                           187
144         convolution.relu.pooling.layer2_2            252
125         activation.layer_3                           187
168         convolution.relu.pooling.layer2_2            99
166         activation.layer_3                           187
146         convolution.relu.pooling.layer2_2            323
126         activation.layer_3                           187
110         openvx.tensor_add                            1555
148         convolution.relu.pooling.layer2_2            129
130         activation.layer_3                           187
127         convolution.relu.pooling.layer2_2            323
111         activation.layer_3                           187
97          openvx.tensor_add                            1555
129         convolution.relu.pooling.layer2_2            99
112         activation.layer_3                           187
98          convolution.relu.pooling.layer2_2            323
89          activation.layer_3                           187
88          openvx.tensor_add                            1555
55          convolution.relu.pooling.layer2_2            257
41          activation.layer_3                           370
169         convolution.relu.pooling.layer2_2            1581
164         activation.layer_3                           187
162         convolution.relu.pooling.layer2_2            140
143         activation.layer_3                           95
218         convolution.relu.pooling.layer2_2            140
207         activation.layer_3                           95
221         convolution.relu.pooling.layer2_2            58
217         activation.layer_3                           95
214         convolution.relu.pooling.layer2_2            278
208         activation.layer_3                           95
195         openvx.tensor_add                            777
212         convolution.relu.pooling.layer2_2            58
210         activation.layer_3                           95
209         convolution.relu.pooling.layer2_2            278
196         activation.layer_3                           95
181         openvx.tensor_add                            777
200         convolution.relu.pooling.layer2_2            58
198         activation.layer_3                           95
184         convolution.relu.pooling.layer2_2            278
182         activation.layer_3                           95
161         openvx.tensor_add                            777
123         convolution.relu.pooling.layer2_2            156
109         activation.layer_3                           187
178         convolution.relu.pooling.layer2_2            2103
176         activation.layer_3                           95
154         convolution.relu.pooling.layer2_2            171
135         activation.layer_3                           50
156         pooling.layer2_3                             50
136         pooling.layer2_3                             50
193         pooling.layer2_3                             50
179         pooling.layer2_3                             50
157         pooling.layer2_3                             50
137         pooling.layer2_3                             50
194         pooling.layer2_3                             50
180         pooling.layer2_3                             50
160         pooling.layer2_3                             50
158         pooling.layer2_3                             50
138         pooling.layer2_3                             50
119         pooling.layer2_3                             50
104         convolution.relu.pooling.layer2_2            633
93          activation.layer_3                           95
92          convolution.relu.pooling.layer2_2            171
82          activation.layer_3                           50
152         convolution.relu.pooling.layer2_2            171
134         activation.layer_3                           50
133         convolution.relu.pooling.layer2_2            91
116         activation.layer_3                           50
102         convolution.relu.pooling.layer2_2            357
91          activation.layer_3                           50
78          convolution.relu.pooling.layer2_2            245
61          activation.layer_3                           95
45          convolution.relu.pooling.layer2_2            171
33          activation.layer_3                           50
122         tensorscale.layer                            878
95          convolution.relu.pooling.layer2_2            155
87          activation.layer_3                           95
159         convolution.relu.pooling.layer2_2            155
140         activation.layer_3                           95
139         convolution.relu.pooling.layer2_2            58
120         activation.layer_3                           95
106         convolution.relu.pooling.layer2_2            277
94          activation.layer_3                           95
84          convolution.relu.pooling.layer2_2            156
67          activation.layer_3                           187
50          convolution.relu.pooling.layer2_2            84
37          activation.layer_3                           95
54          tensorscale.layer                            878
28          convolution.relu.pooling.layer2_2            500
20          activation.layer_3                           187
86          convolution.relu.pooling.layer2_2            500
70          activation.layer_3                           187
69          convolution.relu.pooling.layer2_2            99
52          activation.layer_3                           187
38          convolution.relu.pooling.layer2_2            323
27          activation.layer_3                           187
13          convolution.relu.pooling.layer2_2            193
8           activation.layer_3                           370
5           convolution.relu.pooling.layer2_2            102
65          convolution.relu.pooling.layer2_2            777
49          activation.layer_3                           95
25          convolution.relu.pooling.layer2_2            140
18          activation.layer_3                           95
80          convolution.relu.pooling.layer2_2            140
64          activation.layer_3                           95
63          convolution.relu.pooling.layer2_2            58
47          activation.layer_3                           95
34          convolution.relu.pooling.layer2_2            277
24          activation.layer_3                           95
11          convolution.relu.pooling.layer2_2            156
7           activation.layer_3                           187
4           convolution.relu.pooling.layer2_2            54
59          convolution.relu.pooling.layer2_2            984
44          activation.layer_3                           50
22          convolution.relu.pooling.layer2_2            338
16          activation.layer_3                           50
74          convolution.relu.pooling.layer2_2            338
58          activation.layer_3                           50
57          convolution.relu.pooling.layer2_2            91
42          activation.layer_3                           50
30          convolution.relu.pooling.layer2_2            357
21          activation.layer_3                           50
9           convolution.relu.pooling.layer2_2            245
6           activation.layer_3                           95
3           convolution.relu.pooling.layer2_2            96
Total Time(us): 49727
FPS(600MHz): 15.08
FPS(800MHz): 20.11
Note: Time of each layer is converted according to 800MHz!
========================================================================
